delay_hours,bug_probability,bug_rate_label,success_probability,successful_deployments,total_deployments,simulation_days
1.0000,0.002500,1 in 400,0.976403,1531,1568,180
1.2500,0.002500,1 in 400,0.965224,1249,1294,180
1.5000,0.002500,1 in 400,0.955210,1045,1094,180
1.7500,0.002500,1 in 400,0.962733,930,966,180
2.0000,0.002500,1 in 400,0.952164,836,878,180
2.2500,0.002500,1 in 400,0.942634,723,767,180
2.5000,0.002500,1 in 400,0.952974,689,723,180
2.7500,0.002500,1 in 400,0.934877,646,691,180
3.0000,0.002500,1 in 400,0.921667,553,600,180
3.2500,0.002500,1 in 400,0.918182,505,550,180
3.5000,0.002500,1 in 400,0.935662,509,544,180
3.7500,0.002500,1 in 400,0.915905,501,547,180
4.0000,0.002500,1 in 400,0.924099,487,527,180
4.2500,0.002500,1 in 400,0.904573,455,503,180
4.5000,0.002500,1 in 400,0.895349,385,430,180
4.7500,0.002500,1 in 400,0.882353,345,391,180
5.0000,0.002500,1 in 400,0.882812,339,384,180
5.2500,0.002500,1 in 400,0.875000,336,384,180
5.5000,0.002500,1 in 400,0.872063,334,383,180
5.7500,0.002500,1 in 400,0.902116,341,378,180
6.0000,0.002500,1 in 400,0.885027,331,374,180
6.2500,0.002500,1 in 400,0.885942,334,377,180
6.5000,0.002500,1 in 400,0.900804,336,373,180
6.7500,0.002500,1 in 400,0.883784,327,370,180
7.0000,0.002500,1 in 400,0.866848,319,368,180
7.2500,0.002500,1 in 400,0.865591,322,372,180
7.5000,0.002500,1 in 400,0.877384,322,367,180
7.7500,0.002500,1 in 400,0.887671,324,365,180
8.0000,0.002500,1 in 400,0.862360,307,356,180
8.2500,0.002500,1 in 400,0.855072,295,345,180
8.5000,0.002500,1 in 400,0.859756,282,328,180
8.7500,0.002500,1 in 400,0.820513,256,312,180
9.0000,0.002500,1 in 400,0.859779,233,271,180
9.2500,0.002500,1 in 400,0.791165,197,249,180
9.5000,0.002500,1 in 400,0.816594,187,229,180
9.7500,0.002500,1 in 400,0.801802,178,222,180
10.0000,0.002500,1 in 400,0.829493,180,217,180
10.2500,0.002500,1 in 400,0.800000,180,225,180
10.5000,0.002500,1 in 400,0.778261,179,230,180
10.7500,0.002500,1 in 400,0.767241,178,232,180
11.0000,0.002500,1 in 400,0.814815,176,216,180
11.2500,0.002500,1 in 400,0.781250,175,224,180
11.5000,0.002500,1 in 400,0.763158,174,228,180
11.7500,0.002500,1 in 400,0.775330,176,227,180
12.0000,0.002500,1 in 400,0.781250,175,224,180
1.0000,0.002648,1 in 378,0.962348,1508,1567,180
1.2500,0.002648,1 in 378,0.966667,1247,1290,180
1.5000,0.002648,1 in 378,0.965265,1056,1094,180
1.7500,0.002648,1 in 378,0.956341,920,962,180
2.0000,0.002648,1 in 378,0.956621,838,876,180
2.2500,0.002648,1 in 378,0.950262,726,764,180
2.5000,0.002648,1 in 378,0.933518,674,722,180
2.7500,0.002648,1 in 378,0.937591,646,689,180
3.0000,0.002648,1 in 378,0.906096,550,607,180
3.2500,0.002648,1 in 378,0.908273,505,556,180
3.5000,0.002648,1 in 378,0.910256,497,546,180
3.7500,0.002648,1 in 378,0.925926,500,540,180
4.0000,0.002648,1 in 378,0.894539,475,531,180
4.2500,0.002648,1 in 378,0.889558,443,498,180
4.5000,0.002648,1 in 378,0.886311,382,431,180
4.7500,0.002648,1 in 378,0.856061,339,396,180
5.0000,0.002648,1 in 378,0.872727,336,385,180
5.2500,0.002648,1 in 378,0.878947,334,380,180
5.5000,0.002648,1 in 378,0.862338,332,385,180
5.7500,0.002648,1 in 378,0.866492,331,382,180
6.0000,0.002648,1 in 378,0.880319,331,376,180
6.2500,0.002648,1 in 378,0.888889,328,369,180
6.5000,0.002648,1 in 378,0.894595,331,370,180
6.7500,0.002648,1 in 378,0.864499,319,369,180
7.0000,0.002648,1 in 378,0.881402,327,371,180
7.2500,0.002648,1 in 378,0.860274,314,365,180
7.5000,0.002648,1 in 378,0.862534,320,371,180
7.7500,0.002648,1 in 378,0.867769,315,363,180
8.0000,0.002648,1 in 378,0.876056,311,355,180
8.2500,0.002648,1 in 378,0.855491,296,346,180
8.5000,0.002648,1 in 378,0.849850,283,333,180
8.7500,0.002648,1 in 378,0.849180,259,305,180
9.0000,0.002648,1 in 378,0.855556,231,270,180
9.2500,0.002648,1 in 378,0.821862,203,247,180
9.5000,0.002648,1 in 378,0.803419,188,234,180
9.7500,0.002648,1 in 378,0.822727,181,220,180
10.0000,0.002648,1 in 378,0.795556,179,225,180
10.2500,0.002648,1 in 378,0.787611,178,226,180
10.5000,0.002648,1 in 378,0.784141,178,227,180
10.7500,0.002648,1 in 378,0.785088,179,228,180
11.0000,0.002648,1 in 378,0.791111,178,225,180
11.2500,0.002648,1 in 378,0.755556,170,225,180
11.5000,0.002648,1 in 378,0.766520,174,227,180
11.7500,0.002648,1 in 378,0.804651,173,215,180
12.0000,0.002648,1 in 378,0.820755,174,212,180
1.0000,0.002805,1 in 357,0.964263,1511,1567,180
1.2500,0.002805,1 in 357,0.962074,1243,1292,180
1.5000,0.002805,1 in 357,0.961644,1053,1095,180
1.7500,0.002805,1 in 357,0.948025,912,962,180
2.0000,0.002805,1 in 357,0.947668,833,879,180
2.2500,0.002805,1 in 357,0.926797,709,765,180
2.5000,0.002805,1 in 357,0.918056,661,720,180
2.7500,0.002805,1 in 357,0.904348,624,690,180
3.0000,0.002805,1 in 357,0.908789,548,603,180
3.2500,0.002805,1 in 357,0.928832,509,548,180
3.5000,0.002805,1 in 357,0.903461,496,549,180
3.7500,0.002805,1 in 357,0.920810,500,543,180
4.0000,0.002805,1 in 357,0.913208,484,530,180
4.2500,0.002805,1 in 357,0.887550,442,498,180
4.5000,0.002805,1 in 357,0.856502,382,446,180
4.7500,0.002805,1 in 357,0.889744,347,390,180
5.0000,0.002805,1 in 357,0.905660,336,371,180
5.2500,0.002805,1 in 357,0.851282,332,390,180
5.5000,0.002805,1 in 357,0.867347,340,392,180
5.7500,0.002805,1 in 357,0.866142,330,381,180
6.0000,0.002805,1 in 357,0.874332,327,374,180
6.2500,0.002805,1 in 357,0.875676,324,370,180
6.5000,0.002805,1 in 357,0.853723,321,376,180
6.7500,0.002805,1 in 357,0.870968,324,372,180
7.0000,0.002805,1 in 357,0.855228,319,373,180
7.2500,0.002805,1 in 357,0.879032,327,372,180
7.5000,0.002805,1 in 357,0.863014,315,365,180
7.7500,0.002805,1 in 357,0.865014,314,363,180
8.0000,0.002805,1 in 357,0.857143,312,364,180
8.2500,0.002805,1 in 357,0.860058,295,343,180
8.5000,0.002805,1 in 357,0.829341,277,334,180
8.7500,0.002805,1 in 357,0.830619,255,307,180
9.0000,0.002805,1 in 357,0.848148,229,270,180
9.2500,0.002805,1 in 357,0.795276,202,254,180
9.5000,0.002805,1 in 357,0.801724,186,232,180
9.7500,0.002805,1 in 357,0.778261,179,230,180
10.0000,0.002805,1 in 357,0.773913,178,230,180
10.2500,0.002805,1 in 357,0.769565,177,230,180
10.5000,0.002805,1 in 357,0.787611,178,226,180
10.7500,0.002805,1 in 357,0.751073,175,233,180
11.0000,0.002805,1 in 357,0.788288,175,222,180
11.2500,0.002805,1 in 357,0.750000,171,228,180
11.5000,0.002805,1 in 357,0.771300,172,223,180
11.7500,0.002805,1 in 357,0.796380,176,221,180
12.0000,0.002805,1 in 357,0.779279,173,222,180
1.0000,0.002971,1 in 337,0.966199,1515,1568,180
1.2500,0.002971,1 in 337,0.954299,1232,1291,180
1.5000,0.002971,1 in 337,0.949091,1044,1100,180
1.7500,0.002971,1 in 337,0.945890,909,961,180
2.0000,0.002971,1 in 337,0.946469,831,878,180
2.2500,0.002971,1 in 337,0.924381,709,767,180
2.5000,0.002971,1 in 337,0.926491,668,721,180
2.7500,0.002971,1 in 337,0.919308,638,694,180
3.0000,0.002971,1 in 337,0.899340,545,606,180
3.2500,0.002971,1 in 337,0.905626,499,551,180
3.5000,0.002971,1 in 337,0.900000,495,550,180
