hour_of_day,commits_per_hour
0.0417,0.000000
0.1250,0.000000
0.2083,0.000000
0.2917,0.000000
0.3750,0.000000
0.4583,0.000000
0.5417,0.000000
0.6250,0.000000
0.7083,0.000000
0.7917,0.000000
0.8750,0.000000
0.9583,0.000000
1.0417,0.000000
1.1250,0.000000
1.2083,0.000000
1.2917,0.000000
1.3750,0.000000
1.4583,0.000000
1.5417,0.000000
1.6250,0.000000
1.7083,0.000000
1.7917,0.000000
1.8750,0.000000
1.9583,0.000000
2.0417,0.000000
2.1250,0.000000
2.2083,0.000000
2.2917,0.000000
2.3750,0.000000
2.4583,0.000000
2.5417,0.000000
2.6250,0.000000
2.7083,0.000000
2.7917,0.000000
2.8750,0.000000
2.9583,0.000000
3.0417,0.000000
3.1250,0.000000
3.2083,0.000000
3.2917,0.000000
3.3750,0.000000
3.4583,0.000000
3.5417,0.000000
3.6250,0.000000
3.7083,0.000000
3.7917,0.000000
3.8750,0.000000
3.9583,0.000000
4.0417,0.000000
4.1250,0.000000
4.2083,0.000000
4.2917,0.000000
4.3750,0.000000
4.4583,0.000000
4.5417,0.000000
4.6250,0.000000
4.7083,0.000000
4.7917,0.000000
4.8750,0.000000
4.9583,0.000000
5.0417,0.000000
5.1250,0.000000
5.2083,0.000000
5.2917,0.000000
5.3750,0.000000
5.4583,0.000000
5.5417,0.000000
5.6250,0.000000
5.7083,0.000000
5.7917,0.000000
5.8750,0.000000
5.9583,0.000000
6.0417,0.000000
6.1250,0.000000
6.2083,0.000000
6.2917,0.000000
6.3750,0.000000
6.4583,0.000000
6.5417,0.000000
6.6250,0.000000
6.7083,0.000000
6.7917,0.000000
6.8750,0.000000
6.9583,0.000000
7.0417,0.000000
7.1250,0.000000
7.2083,0.000000
7.2917,0.000000
7.3750,0.000000
7.4583,0.000000
7.5417,0.000000
7.6250,0.000000
7.7083,0.000000
7.7917,0.000000
7.8750,0.000000
7.9583,0.000000
8.0417,0.958673
8.1250,1.204552
8.2083,1.495416
8.2917,1.830131
8.3750,2.209256
8.4583,2.633560
8.5417,3.103507
8.6250,3.618963
8.7083,4.178974
8.7917,4.781598
8.8750,5.423767
8.9583,6.101199
9.0417,6.808344
9.1250,7.538390
9.2083,8.283317
9.2917,9.034014
9.3750,9.780450
9.4583,10.511903
9.5417,11.217228
9.6250,11.885183
9.7083,12.504762
9.7917,13.065557
9.8750,13.558107
9.9583,13.974237
10.0417,14.307355
10.1250,14.552705
10.2083,14.707551
10.2917,14.771294
10.3750,14.745509
10.4583,14.633901
10.5417,14.442185
10.6250,14.177896
10.7083,13.850123
10.7917,13.469213
10.8750,13.046412
10.9583,12.593499
11.0417,12.122383
11.1250,11.644712
11.2083,11.171464
11.2917,10.712553
11.3750,10.276444
11.4583,9.869813
11.5417,9.497260
11.6250,9.161155
11.7083,8.861651
11.7917,8.596960
11.8750,8.363939
11.9583,8.159006
12.0417,7.979329
12.1250,7.824156
12.2083,7.696045
12.2917,7.601705
12.3750,7.552156
12.4583,7.562017
12.5417,7.647865
12.6250,7.825868
12.7083,8.109052
12.7917,8.504747
12.8750,9.012730
12.9583,9.624481
13.0417,10.323730
13.1250,11.088167
13.2083,11.891978
13.2917,12.708656
13.3750,13.513591
13.4583,14.285989
13.5417,15.009920
13.6250,15.674483
13.7083,16.273248
13.7917,16.803264
13.8750,17.263918
13.9583,17.655876
14.0417,17.980264
14.1250,18.238147
14.2083,18.430291
14.2917,18.557138
14.3750,18.618926
14.4583,18.615874
14.5417,18.548375
14.6250,18.417166
14.7083,18.223456
14.7917,17.969003
14.8750,17.656155
14.9583,17.287844
15.0417,16.867562
15.1250,16.399310
15.2083,15.887527
15.2917,15.337020
15.3750,14.752876
15.4583,14.140375
15.5417,13.504900
15.6250,12.851855
15.7083,12.186575
15.7917,11.514252
15.8750,10.839863
15.9583,10.168109
16.0417,9.503357
16.1250,8.849604
16.2083,8.210439
16.2917,7.589021
16.3750,6.988070
16.4583,6.409862
16.5417,5.856237
16.6250,5.328613
16.7083,4.828008
16.7917,4.355071
16.8750,3.910110
16.9583,3.493134
17.0417,3.103889
17.1250,2.741904
17.2083,2.406532
17.2917,2.096996
17.3750,1.812434
17.4583,1.551950
17.5417,1.314668
17.6250,1.099797
17.7083,0.906732
17.7917,0.735212
17.8750,0.585703
17.9583,0.460754
18.0417,0.000000
18.1250,0.000000
18.2083,0.000000
18.2917,0.000000
18.3750,0.000000
18.4583,0.000000
18.5417,0.000000
18.6250,0.000000
18.7083,0.000000
18.7917,0.000000
18.8750,0.000000
18.9583,0.000000
19.0417,0.000000
19.1250,0.000000
19.2083,0.000000
19.2917,0.000000
19.3750,0.000000
19.4583,0.000000
19.5417,0.000000
19.6250,0.000000
19.7083,0.000000
